,Eruption Number,dt
843,14974,1974-10-17
844,15162,1974-11-12
845,17598,1974-12-24
846,14947,1974-12-30
847,10112,1974-12-31
848,15468,1975-01-16
849,14603,1975-02-12
850,13803,1975-02-24
851,15310,1975-03-06
852,16142,1975-03-16
853,15611,1975-03-27
854,14641,1975-04-24
855,10928,1975-05-16
856,10728,1975-05-28
857,19323,1975-06-28
858,13201,1975-07-02
859,10225,1975-07-05
860,15163,1975-08-16
861,18424,1975-08-25
862,20141,1975-09-13
863,20085,1975-09-13
864,18371,1975-10-02
865,17337,1975-10-16
866,14642,1975-10-17
867,14365,1975-11-04
868,16455,1975-11-16
869,10113,1975-11-29
870,10469,1975-12-11
871,12948,1975-12-20
872,20922,1976-01-01
873,14964,1976-01-02
874,11445,1976-01-04
875,15226,1976-01-15
876,18413,1976-01-16
877,20086,1976-01-16
878,20272,1976-01-22
879,17842,1976-03-02
880,14643,1976-03-06
881,10881,1976-03-09
882,19350,1976-03-25
883,16978,1976-04-02
884,15311,1976-05-01
885,16143,1976-06-07
886,11175,1976-06-21
887,12368,1976-07-08
888,14604,1976-08-23
889,15164,1976-08-24
890,10882,1976-08-29
891,16859,1976-09-03
892,14644,1976-09-12
893,16528,1976-09-15
894,18816,1976-09-23
895,20025,1976-10-15
896,14366,1976-11-02
897,10929,1976-11-03
898,10862,1976-12-02
899,14487,1976-12-18
900,14068,1976-12-23
901,14101,1977-01-10
902,12464,1977-01-14
903,15278,1977-01-20
904,12166,1977-01-26
905,15165,1977-02-22
906,11231,1977-03-03
907,10729,1977-03-03
908,19780,1977-03-06
909,11339,1977-03-19
910,11669,1977-03-23
911,14367,1977-03-24
912,19351,1977-03-25
913,20206,1977-03-30
914,11065,1977-04-04
915,14203,1977-04-05
916,17338,1977-04-11
917,15227,1977-04-13
918,14704,1977-04-16
919,12949,1977-04-27
920,11176,1977-05-16
921,16144,1977-06-09
922,14605,1977-07-04
923,14645,1977-07-16
924,15166,1977-07-17
925,19460,1977-08-02
926,18601,1977-08-07
927,15279,1977-08-16
928,10730,1977-09-11
929,10114,1977-09-13
930,16860,1977-10-03
931,10883,1977-10-16
932,14705,1977-10-17
933,14368,1977-10-24
934,12465,1977-11-11
935,16470,1977-11-16
936,17937,1977-12-07
937,10315,1977-12-10
938,10460,1977-12-16
939,11177,1977-12-18
940,16878,1978-01-06
941,16145,1978-01-16
942,20044,1978-02-04
943,20087,1978-02-08
944,14706,1978-02-16
945,16529,1978-02-22
946,14525,1978-02-23
947,16805,1978-03-07
948,11066,1978-03-30
949,13804,1978-04-29
950,15053,1978-05-07
951,18631,1978-05-14
952,12321,1978-06-16
953,15167,1978-06-21
954,16734,1978-06-27
955,15612,1978-07-10
956,18742,1978-07-20
957,16764,1978-07-29
958,11670,1978-08-08
959,19352,1978-09-08
960,11178,1978-09-22
961,20027,1978-09-25
962,13946,1978-11-07
963,15312,1978-11-22
964,18414,1978-12-11
965,18632,1978-12-12
966,14948,1979-01-12
967,15280,1979-01-26
968,11728,1979-01-29
969,19353,1979-02-11
970,20088,1979-02-16
971,14707,1979-02-16
972,17161,1979-02-16
973,15786,1979-02-20
974,12322,1979-03-08
975,12300,1979-03-08
976,12455,1979-04-13
977,12189,1979-04-14
978,18828,1979-04-16
979,14765,1979-05-10
980,14776,1979-05-14
981,14369,1979-05-28
982,16530,1979-05-31
983,17339,1979-06-05
984,15281,1979-06-06
985,14646,1979-06-30
986,15392,1979-07-02
987,15313,1979-07-02
988,15095,1979-07-02
989,13805,1979-07-03
990,15613,1979-07-15
991,13806,1979-07-16
992,11179,1979-09-08
993,19354,1979-09-18
994,10316,1979-09-30
995,12065,1979-10-15
996,17457,1979-10-28
997,11712,1979-11-13
998,10115,1979-11-16
999,16765,1979-12-27
1000,20561,1980-01-10
1001,14647,1980-01-15
1002,14708,1980-01-16
1003,14069,1980-01-30
1004,10317,1980-02-12
1005,10116,1980-03-11
1006,18415,1980-03-13
1007,15614,1980-03-15
1008,12950,1980-03-16
1009,16531,1980-03-24
1010,20557,1980-03-27
1011,15469,1980-03-29
1012,15314,1980-04-15
1013,19355,1980-04-18
1014,19988,1980-05-01
1015,15282,1980-05-16
1016,18832,1980-05-24
1017,16056,1980-06-05
1018,19024,1980-06-15
1019,12167,1980-06-20
1020,15228,1980-07-02
1021,20028,1980-07-03
1022,20142,1980-07-06
1023,13807,1980-07-08
1024,19685,1980-08-07
1025,16735,1980-08-08
1026,12751,1980-08-17
1027,19356,1980-08-21
1028,19580,1980-08-23
1029,16667,1980-09-04
1030,11180,1980-09-12
1031,14413,1980-09-16
1032,17340,1980-09-24
1033,16979,1980-09-28
1034,15054,1980-10-06
1035,15168,1980-10-07
1036,11997,1980-10-16
1037,14648,1980-10-18
1038,16270,1980-11-05
1039,20143,1980-11-08
1040,10318,1980-11-10
1041,11181,1980-12-26
1042,19461,1981-01-25
1043,13808,1981-01-26
1044,12951,1981-01-30
1045,14370,1981-02-03
1046,10930,1981-02-16
1047,15283,1981-02-20
1048,18633,1981-02-27
1049,16593,1981-03-04
1050,11182,1981-03-16
1051,13809,1981-03-17
1052,19848,1981-03-24
1053,20144,1981-03-30
1054,12752,1981-04-09
1055,16766,1981-04-09
1056,15615,1981-04-24
1057,18887,1981-04-27
1058,18515,1981-05-15
1059,14526,1981-05-16
1060,18743,1981-06-10
1061,19360,1981-06-12
1062,17341,1981-06-15
1063,15787,1981-07-02
1064,15229,1981-07-09
1065,11671,1981-08-01
1066,11491,1981-08-31
1067,20145,1981-09-25
1068,14649,1981-10-25
1069,12952,1981-11-18
1070,10931,1981-11-25
1071,18888,1981-11-25
1072,13810,1981-11-26
1073,14070,1981-12-25
1074,11067,1982-01-15
1075,19686,1982-01-15
1076,10319,1982-03-01
1077,18416,1982-03-09
1078,15470,1982-03-10
1079,10299,1982-03-16
1080,19463,1982-03-24
1081,10610,1982-03-28
1082,18889,1982-03-29
1083,15721,1982-04-05
1084,15170,1982-04-07
1085,15230,1982-04-18
1086,17805,1982-04-26
1087,10117,1982-04-30
1088,14709,1982-05-16
1089,14104,1982-06-21
1090,20718,1982-07-02
1091,16532,1982-07-02
1092,16146,1982-07-18
1093,16428,1982-08-26
1094,11690,1982-08-28
1095,10118,1982-09-25
1096,17806,1982-10-02
1097,20029,1982-10-05
1098,19464,1982-10-07
1099,14132,1982-10-16
1100,15315,1982-10-24
1101,17843,1982-10-26
1102,16322,1982-11-17
1103,18785,1982-11-22
1104,18417,1982-11-28
1105,15471,1982-12-16
1106,14023,1983-01-01
1107,10119,1983-01-03
1108,11099,1983-02-06
1109,10320,1983-03-14
1110,11068,1983-03-16
1111,13811,1983-03-28
1112,17807,1983-04-08
1113,17547,1983-04-14
1114,16323,1983-05-11
1115,16533,1983-05-16
1116,12838,1983-05-28
1117,20167,1983-06-02
1118,16767,1983-06-25
1119,15284,1983-07-02
1120,15472,1983-07-02
